DDA,Black Rate,White Rate,RR
"Alex, Christopher",0.00,0.18,0.00
"Atienza, Ben John",1.00,0.33,3.00
"Balleste, Sonia",0.56,0.12,4.58
"Baytieh, Ebrahim",0.53,0.29,1.84
"Birney, Mark",0.40,0.07,5.60
"Bokosky, Whitney",0.25,0.14,1.75
"Bradbury, Matthew",,0.25,0.00
"Brown, Heather",0.00,0.33,0.00
"Bugman, Andrew",0.29,0.40,0.71
"Burke, Keith",0.67,0.71,0.93
"Butler, Julie",,0.75,0.00
"Carlisle, Carolyn",,0.11,0.00
"Chrisopoulos, Paul",,0.40,0.00
"Chupurdy, Dustin",,1.00,0.00
"Conway, Dennis",0.20,0.20,1.00
"Cunningham, Casey",0.00,0.25,0.00
"Diaz, Raymund",0.00,0.33,0.00
"Elkerton, Nikki",0.00,0.50,0.00
"Etemadian, Shiba",,0.33,0.00
"Feldman, Daniel",0.40,0.17,2.40
"Ferguson, Jeff",0.00,0.25,0.00
"Glazier, Tom",,0.83,0.00
"Guirguis, Mena",0.50,0.17,3.00
"Gundy, Howard",0.50,0.25,2.00
"Gupta, Rahul",,0.33,0.00
"Gyves, Alison",,0.50,0.00
"Harris, Jimmie",0.00,0.25,0.00
"Haskins, Kevin",,0.43,0.00
"Hatcher, Elisabeth",0.00,0.10,0.00
"Henson, Carol",,0.33,0.00
"Hudson, Jeremy",0.00,0.25,0.00
"Hunt, Seton",0.33,0.50,0.67
"Kim, Barbara",1.00,0.67,1.50
"Koller-Nielsen, Joseph John",,0.50,0.00
"Madera, Janine",0.33,0.27,1.22
"Mc Greevy, Stephen",0.30,0.24,1.25
"Meloch, Mary",0.00,0.20,0.00
"Mendelson, Jim",0.00,0.11,0.00
"Moore, Bruce",,0.60,0.00
"Morcos, Nagy",0.00,0.67,0.00
"Mulgrew, Jim",0.17,0.33,0.50
"Murphy, Matthew",0.57,0.50,1.14
"Murray, Michael",1.00,0.45,2.20
"Pevney, Michael",0.00,0.20,0.00
"Pino, Troy",0.75,0.11,6.75
"Porter, David",0.33,0.29,1.17
"Price, Susan Aramesh",0.50,0.27,1.88
"Roper, Margaret",1.00,0.50,2.00
"Scarbrough, Eric",0.00,0.34,0.00
"Schaffer, Jerry",,0.50,0.00
"Schwarm, Walter",,0.30,0.00
"Simmons, Christine",0.00,0.13,0.00
"Simmons, Scott",0.22,0.11,2.00
"Swanson, Amy",0.80,0.57,1.40
"Thomo, Nick",0.67,0.33,2.00
"Valero, Lorri",1.00,1.00,1.00
"Wagner, Daniel",1.00,0.20,5.00
"Walker, Jennifer",0.71,0.17,4.11
"Williams, Joe",,0.33,0.00
"Yellin, Larry",0.50,0.33,1.54
"Yu, Cyril",0.50,0.27,1.88